Voltage (V),Ampere (A),Timestamp,Device ID
4.5,0.33,2024-03-01 05:10:00,TV
4.5,0.11,2024-03-01 05:15:00,TV
4.5,0.12,2024-03-01 05:20:00,TV
4.5,0.03,2024-03-01 05:25:00,TV
4.5,0.39,2024-03-01 05:30:00,TV
4.5,0.43,2024-03-01 05:35:00,TV
4.5,0.33,2024-03-01 05:40:00,TV
4.5,0.15,2024-03-01 05:45:00,TV
4.5,0.26,2024-03-01 05:50:00,TV
4.5,0.06,2024-03-01 05:55:00,TV
4.5,0.16,2024-03-01 06:00:00,TV
4.5,0.18,2024-03-01 06:05:00,TV
4.5,0.15,2024-03-01 06:10:00,TV
4.5,0.08,2024-03-01 06:15:00,TV
4.5,0.25,2024-03-01 06:20:00,TV
4.5,0.14,2024-03-01 06:25:00,TV
4.5,0.25,2024-03-01 06:30:00,TV
4.5,0.44,2024-03-01 06:35:00,TV
4.5,0.16,2024-03-01 06:40:00,TV
4.5,0.14,2024-03-01 06:45:00,TV
4.5,0.32,2024-03-01 06:50:00,TV
4.5,0.38,2024-03-01 06:55:00,TV
4.5,0.42,2024-03-01 07:00:00,TV
4.5,0.16,2024-03-01 07:05:00,TV
4.5,0.18,2024-03-01 07:10:00,TV
4.5,0.02,2024-03-01 07:15:00,TV
4.5,0.47,2024-03-01 07:20:00,TV
4.5,0.05,2024-03-01 07:25:00,TV
4.5,0.43,2024-03-01 07:30:00,TV
4.5,0.33,2024-03-01 07:35:00,TV
4.5,0.48,2024-03-01 07:40:00,TV
4.5,0.08,2024-03-01 07:45:00,TV
4.5,0.05,2024-03-01 07:50:00,TV
4.5,0.23,2024-03-01 07:55:00,TV
4.5,0.1,2024-03-01 08:00:00,TV
4.5,0.47,2024-03-01 08:05:00,TV
4.5,0.3,2024-03-01 08:10:00,TV
4.5,0.23,2024-03-01 08:15:00,TV
4.5,0.03,2024-03-01 08:20:00,TV
4.5,0.04,2024-03-01 08:25:00,TV
4.5,0.25,2024-03-01 08:30:00,TV
4.5,0.26,2024-03-01 08:35:00,TV
4.5,0.4,2024-03-01 08:40:00,TV
4.5,0.17,2024-03-01 08:45:00,TV
4.5,0.39,2024-03-01 08:50:00,TV
4.5,0.4,2024-03-01 08:55:00,TV
4.5,0.42,2024-03-01 09:00:00,TV
4.5,0.01,2024-03-01 09:05:00,TV
4.5,0.45,2024-03-01 09:10:00,TV
4.5,0.29,2024-03-01 09:15:00,TV
4.5,0.24,2024-03-01 09:20:00,TV
4.5,0.04,2024-03-01 09:25:00,TV
4.5,0.12,2024-03-01 09:30:00,TV
4.5,0.22,2024-03-01 09:35:00,TV
4.5,0.16,2024-03-01 09:40:00,TV
4.5,0.25,2024-03-01 09:45:00,TV
4.5,0.23,2024-03-01 09:50:00,TV
4.5,0.05,2024-03-01 09:55:00,TV
4.5,0.31,2024-03-01 10:00:00,TV
4.5,0.33,2024-03-01 10:05:00,TV
4.5,0.22,2024-03-01 10:10:00,TV
4.5,0.02,2024-03-01 10:15:00,TV
4.5,0.23,2024-03-01 10:20:00,TV
4.5,0.08,2024-03-01 10:25:00,TV
4.5,0.39,2024-03-01 10:30:00,TV
4.5,0.1,2024-03-01 10:35:00,TV
4.5,0.21,2024-03-01 10:40:00,TV
4.5,0.26,2024-03-01 10:45:00,TV
4.5,0.48,2024-03-01 10:50:00,TV
4.5,0.21,2024-03-01 10:55:00,TV
4.5,0.2,2024-03-01 11:00:00,TV
4.5,0.36,2024-03-01 11:05:00,TV
4.5,0.12,2024-03-01 11:10:00,TV
4.5,0.02,2024-03-01 11:15:00,TV
4.5,0.31,2024-03-01 11:20:00,TV
4.5,0.12,2024-03-01 11:25:00,TV
4.5,0.19,2024-03-01 11:30:00,TV
4.5,0.01,2024-03-01 11:35:00,TV
4.5,0.24,2024-03-01 11:40:00,TV
4.5,0.05,2024-03-01 11:45:00,TV
4.5,0.09,2024-03-01 11:50:00,TV
4.5,0.01,2024-03-01 11:55:00,TV
4.5,0.26,2024-03-01 12:00:00,TV
4.5,0.3,2024-03-01 12:05:00,TV
4.5,0.46,2024-03-01 12:10:00,TV
4.5,0.04,2024-03-01 12:15:00,TV
4.5,0.35,2024-03-01 12:20:00,TV
4.5,0.25,2024-03-01 12:25:00,TV
4.5,0.18,2024-03-01 12:30:00,TV
4.5,0.11,2024-03-01 12:35:00,TV
4.5,0.29,2024-03-01 12:40:00,TV
4.5,0.42,2024-03-01 12:45:00,TV
4.5,0.2,2024-03-01 12:50:00,TV
4.5,0.24,2024-03-01 12:55:00,TV
4.5,0.44,2024-03-01 13:00:00,TV
4.5,0.07,2024-03-01 13:05:00,TV
4.5,0.34,2024-03-01 13:10:00,TV
4.5,0.44,2024-03-01 13:15:00,TV
4.5,0.02,2024-03-01 13:20:00,TV
4.5,0.07,2024-03-01 13:25:00,TV
4.5,0.03,2024-03-01 13:30:00,TV
4.5,0.03,2024-03-01 13:35:00,TV
4.5,0.47,2024-03-01 13:40:00,TV
4.5,0.13,2024-03-01 13:45:00,TV
4.5,0.34,2024-03-01 13:50:00,TV
4.5,0.46,2024-03-01 13:55:00,TV
4.5,0.15,2024-03-01 14:00:00,TV
4.5,0.05,2024-03-01 14:05:00,TV
4.5,0.0,2024-03-01 14:10:00,TV
4.5,0.3,2024-03-01 14:15:00,TV
4.5,0.23,2024-03-01 14:20:00,TV
4.5,0.25,2024-03-01 14:25:00,TV
4.5,0.02,2024-03-01 14:30:00,TV
4.5,0.5,2024-03-01 14:35:00,TV
4.5,0.0,2024-03-01 14:40:00,TV
4.5,0.12,2024-03-01 14:45:00,TV
4.5,0.17,2024-03-01 14:50:00,TV
4.5,0.16,2024-03-01 14:55:00,TV
4.5,0.24,2024-03-01 15:00:00,TV
4.5,0.32,2024-03-01 15:05:00,TV
4.5,0.44,2024-03-01 15:10:00,TV
4.5,0.23,2024-03-01 15:15:00,TV
4.5,0.11,2024-03-01 15:20:00,TV
4.5,0.16,2024-03-01 15:25:00,TV
4.5,0.31,2024-03-01 15:30:00,TV
4.5,0.31,2024-03-01 15:35:00,TV
4.5,0.13,2024-03-01 15:40:00,TV
4.5,0.34,2024-03-01 15:45:00,TV
4.5,0.22,2024-03-01 15:50:00,TV
4.5,0.48,2024-03-01 15:55:00,TV
4.5,0.18,2024-03-01 16:00:00,TV
4.5,0.39,2024-03-01 16:05:00,TV
4.5,0.01,2024-03-01 16:10:00,TV
4.5,0.45,2024-03-01 16:15:00,TV
4.5,0.38,2024-03-01 16:20:00,TV
4.5,0.15,2024-03-01 16:25:00,TV
4.5,0.2,2024-03-01 16:30:00,TV
4.5,0.26,2024-03-01 16:35:00,TV
4.5,0.26,2024-03-01 16:40:00,TV
4.5,0.21,2024-03-01 16:45:00,TV
4.5,0.01,2024-03-01 16:50:00,TV
4.5,0.45,2024-03-01 16:55:00,TV
4.5,0.03,2024-03-01 17:00:00,TV
4.5,0.17,2024-03-01 17:05:00,TV
4.5,0.07,2024-03-01 17:10:00,TV
4.5,0.2,2024-03-01 17:15:00,TV
4.5,0.32,2024-03-01 17:20:00,TV
4.5,0.35,2024-03-01 17:25:00,TV
4.5,0.28,2024-03-01 17:30:00,TV
4.5,0.29,2024-03-01 17:35:00,TV
4.5,0.42,2024-03-01 17:40:00,TV
4.5,0.17,2024-03-01 17:45:00,TV
4.5,0.15,2024-03-01 17:50:00,TV
4.5,0.34,2024-03-01 17:55:00,TV
4.5,0.22,2024-03-01 18:00:00,TV
4.5,0.19,2024-03-01 18:05:00,TV
4.5,0.17,2024-03-01 18:10:00,TV
4.5,0.3,2024-03-01 18:15:00,TV
4.5,0.12,2024-03-01 18:20:00,TV
4.5,0.26,2024-03-01 18:25:00,TV
4.5,0.13,2024-03-01 18:30:00,TV
4.5,0.0,2024-03-01 18:35:00,TV
4.5,0.33,2024-03-01 18:40:00,TV
4.5,0.29,2024-03-01 18:45:00,TV
4.5,0.43,2024-03-01 18:50:00,TV
4.5,0.47,2024-03-01 18:55:00,TV
4.5,0.14,2024-03-01 19:00:00,TV
4.5,0.15,2024-03-01 19:05:00,TV
4.5,0.41,2024-03-01 19:10:00,TV
4.5,0.42,2024-03-01 19:15:00,TV
4.5,0.42,2024-03-01 19:20:00,TV
4.5,0.37,2024-03-01 19:25:00,TV
4.5,0.08,2024-03-01 19:30:00,TV
4.5,0.07,2024-03-01 19:35:00,TV
4.5,0.12,2024-03-01 19:40:00,TV
4.5,0.28,2024-03-01 19:45:00,TV
4.5,0.39,2024-03-01 19:50:00,TV
4.5,0.12,2024-03-01 19:55:00,TV
4.5,0.05,2024-03-01 20:00:00,TV
4.5,0.22,2024-03-01 20:05:00,TV
4.5,0.37,2024-03-01 20:10:00,TV
4.5,0.31,2024-03-01 20:15:00,TV
4.5,0.3,2024-03-01 20:20:00,TV
4.5,0.28,2024-03-01 20:25:00,TV
4.5,0.18,2024-03-01 20:30:00,TV
4.5,0.34,2024-03-01 20:35:00,TV
4.5,0.43,2024-03-01 20:40:00,TV
4.5,0.19,2024-03-01 20:45:00,TV
4.5,0.36,2024-03-01 20:50:00,TV
4.5,0.47,2024-03-01 20:55:00,TV
4.5,0.28,2024-03-01 21:00:00,TV
4.5,0.39,2024-03-01 21:05:00,TV
4.5,0.36,2024-03-01 21:10:00,TV
4.5,0.17,2024-03-01 21:15:00,TV
4.5,0.21,2024-03-01 21:20:00,TV
4.5,0.26,2024-03-01 21:25:00,TV
4.5,0.45,2024-03-01 21:30:00,TV
4.5,0.32,2024-03-01 21:35:00,TV
4.5,0.1,2024-03-01 21:40:00,TV
4.5,0.15,2024-03-01 21:45:00,TV
4.5,0.23,2024-03-01 21:50:00,TV
4.5,0.35,2024-03-01 21:55:00,TV
4.5,0.44,2024-03-01 22:00:00,TV
4.5,0.3,2024-03-01 22:05:00,TV
4.5,0.12,2024-03-01 22:10:00,TV
4.5,0.33,2024-03-01 22:15:00,TV
4.5,0.5,2024-03-01 22:20:00,TV
4.5,0.5,2024-03-01 22:25:00,TV
4.5,0.47,2024-03-01 22:30:00,TV
4.5,0.01,2024-03-01 22:35:00,TV
4.5,0.37,2024-03-01 22:40:00,TV
4.5,0.17,2024-03-01 22:45:00,TV
4.5,0.45,2024-03-01 22:50:00,TV
4.5,0.34,2024-03-01 22:55:00,TV
4.5,0.24,2024-03-01 23:00:00,TV
4.5,0.14,2024-03-01 23:05:00,TV
4.5,0.38,2024-03-01 23:10:00,TV
4.5,0.38,2024-03-01 23:15:00,TV
4.5,0.48,2024-03-01 23:20:00,TV
4.5,0.16,2024-03-01 23:25:00,TV
4.5,0.49,2024-03-01 23:30:00,TV
4.5,0.41,2024-03-01 23:35:00,TV
4.5,0.43,2024-03-01 23:40:00,TV
4.5,0.04,2024-03-01 23:45:00,TV
4.5,0.23,2024-03-01 23:50:00,TV
4.5,0.03,2024-03-01 23:55:00,TV
18.0,2.86,2024-03-01 00:00:00,AC
18.0,3.1,2024-03-01 00:05:00,AC
18.0,1.33,2024-03-01 00:10:00,AC
18.0,4.92,2024-03-01 00:15:00,AC
18.0,1.81,2024-03-01 00:20:00,AC
18.0,3.59,2024-03-01 00:25:00,AC
18.0,1.16,2024-03-01 00:30:00,AC
18.0,4.33,2024-03-01 00:35:00,AC
18.0,0.08,2024-03-01 00:40:00,AC
18.0,2.01,2024-03-01 00:45:00,AC
18.0,3.24,2024-03-01 00:50:00,AC
18.0,4.22,2024-03-01 00:55:00,AC
18.0,2.69,2024-03-01 01:00:00,AC
18.0,3.2,2024-03-01 01:05:00,AC
18.0,3.34,2024-03-01 01:10:00,AC
18.0,2.49,2024-03-01 01:15:00,AC
18.0,3.57,2024-03-01 01:20:00,AC
18.0,3.67,2024-03-01 01:25:00,AC
18.0,4.31,2024-03-01 01:30:00,AC
18.0,1.33,2024-03-01 01:35:00,AC
18.0,4.35,2024-03-01 01:40:00,AC
18.0,1.17,2024-03-01 01:45:00,AC
18.0,4.69,2024-03-01 01:50:00,AC
18.0,4.43,2024-03-01 01:55:00,AC
18.0,1.04,2024-03-01 02:00:00,AC
18.0,0.9,2024-03-01 02:05:00,AC
18.0,2.43,2024-03-01 02:10:00,AC
18.0,4.14,2024-03-01 02:15:00,AC
18.0,2.35,2024-03-01 02:20:00,AC
18.0,2.02,2024-03-01 02:25:00,AC
18.0,4.32,2024-03-01 02:30:00,AC
18.0,3.03,2024-03-01 02:35:00,AC
18.0,2.43,2024-03-01 02:40:00,AC
18.0,3.08,2024-03-01 02:45:00,AC
18.0,4.27,2024-03-01 02:50:00,AC
18.0,4.95,2024-03-01 02:55:00,AC
18.0,4.25,2024-03-01 03:00:00,AC
18.0,2.73,2024-03-01 03:05:00,AC
18.0,2.57,2024-03-01 03:10:00,AC
18.0,0.11,2024-03-01 03:15:00,AC
18.0,2.94,2024-03-01 03:20:00,AC
18.0,0.43,2024-03-01 03:25:00,AC
18.0,0.2,2024-03-01 03:30:00,AC
18.0,0.89,2024-03-01 03:35:00,AC
18.0,0.96,2024-03-01 03:40:00,AC
18.0,0.02,2024-03-01 03:45:00,AC
18.0,0.51,2024-03-01 03:50:00,AC
18.0,1.24,2024-03-01 03:55:00,AC
18.0,2.94,2024-03-01 04:00:00,AC
18.0,3.66,2024-03-01 04:05:00,AC
18.0,3.34,2024-03-01 04:10:00,AC
18.0,1.37,2024-03-01 04:15:00,AC
18.0,2.58,2024-03-01 04:20:00,AC
18.0,4.62,2024-03-01 04:25:00,AC
18.0,4.84,2024-03-01 04:30:00,AC
18.0,4.6,2024-03-01 04:35:00,AC
18.0,3.01,2024-03-01 04:40:00,AC
18.0,2.79,2024-03-01 04:45:00,AC
18.0,3.09,2024-03-01 04:50:00,AC
18.0,3.36,2024-03-01 04:55:00,AC
18.0,0.64,2024-03-01 05:00:00,AC
18.0,3.41,2024-03-01 05:05:00,AC
18.0,2.82,2024-03-01 05:10:00,AC
18.0,1.48,2024-03-01 05:15:00,AC
18.0,0.3,2024-03-01 05:20:00,AC
18.0,2.93,2024-03-01 05:25:00,AC
18.0,2.63,2024-03-01 05:30:00,AC
18.0,4.45,2024-03-01 05:35:00,AC
18.0,1.54,2024-03-01 05:40:00,AC
18.0,0.09,2024-03-01 05:45:00,AC
18.0,2.34,2024-03-01 05:50:00,AC
18.0,1.65,2024-03-01 05:55:00,AC
18.0,2.34,2024-03-01 06:00:00,AC
18.0,1.6,2024-03-01 06:05:00,AC
18.0,2.23,2024-03-01 06:10:00,AC
18.0,2.01,2024-03-01 06:15:00,AC
18.0,3.28,2024-03-01 06:20:00,AC
18.0,1.34,2024-03-01 06:25:00,AC
18.0,0.48,2024-03-01 06:30:00,AC
18.0,2.63,2024-03-01 06:35:00,AC
18.0,2.84,2024-03-01 06:40:00,AC
18.0,4.11,2024-03-01 06:45:00,AC
18.0,1.92,2024-03-01 06:50:00,AC
18.0,4.84,2024-03-01 06:55:00,AC
18.0,4.08,2024-03-01 07:00:00,AC
18.0,0.27,2024-03-01 07:05:00,AC
18.0,0.14,2024-03-01 07:10:00,AC
18.0,4.98,2024-03-01 07:15:00,AC
18.0,2.17,2024-03-01 07:20:00,AC
18.0,4.13,2024-03-01 07:25:00,AC
18.0,1.23,2024-03-01 07:30:00,AC
18.0,2.9,2024-03-01 07:35:00,AC
18.0,1.97,2024-03-01 07:40:00,AC
18.0,0.72,2024-03-01 07:45:00,AC
18.0,4.72,2024-03-01 07:50:00,AC
18.0,3.15,2024-03-01 07:55:00,AC
18.0,4.55,2024-03-01 08:00:00,AC
18.0,1.57,2024-03-01 08:05:00,AC
18.0,2.49,2024-03-01 08:10:00,AC
18.0,1.93,2024-03-01 08:15:00,AC
18.0,4.24,2024-03-01 08:20:00,AC
18.0,0.79,2024-03-01 08:25:00,AC
18.0,2.12,2024-03-01 08:30:00,AC
18.0,1.5,2024-03-01 08:35:00,AC
18.0,1.52,2024-03-01 08:40:00,AC
18.0,2.64,2024-03-01 08:45:00,AC
18.0,2.06,2024-03-01 08:50:00,AC
18.0,0.9,2024-03-01 08:55:00,AC
18.0,4.76,2024-03-01 09:00:00,AC
18.0,1.05,2024-03-01 09:05:00,AC
18.0,1.96,2024-03-01 09:10:00,AC
18.0,4.03,2024-03-01 09:15:00,AC
18.0,0.72,2024-03-01 09:20:00,AC
18.0,0.56,2024-03-01 09:25:00,AC
18.0,1.64,2024-03-01 09:30:00,AC
18.0,3.88,2024-03-01 09:35:00,AC
18.0,1.6,2024-03-01 09:40:00,AC
18.0,1.56,2024-03-01 09:45:00,AC
18.0,1.52,2024-03-01 09:50:00,AC
18.0,4.22,2024-03-01 09:55:00,AC
18.0,2.59,2024-03-01 10:00:00,AC
18.0,2.42,2024-03-01 10:05:00,AC
18.0,2.75,2024-03-01 10:10:00,AC
18.0,1.45,2024-03-01 10:15:00,AC
18.0,0.72,2024-03-01 10:20:00,AC
18.0,3.14,2024-03-01 10:25:00,AC
18.0,3.78,2024-03-01 10:30:00,AC
18.0,4.64,2024-03-01 10:35:00,AC
18.0,1.25,2024-03-01 10:40:00,AC
18.0,1.0,2024-03-01 10:45:00,AC
18.0,0.25,2024-03-01 10:50:00,AC
18.0,4.19,2024-03-01 10:55:00,AC
18.0,2.45,2024-03-01 11:00:00,AC
18.0,1.37,2024-03-01 11:05:00,AC
18.0,0.18,2024-03-01 11:10:00,AC
18.0,4.68,2024-03-01 11:15:00,AC
18.0,3.25,2024-03-01 11:20:00,AC
18.0,1.05,2024-03-01 11:25:00,AC
18.0,2.83,2024-03-01 11:30:00,AC
18.0,1.83,2024-03-01 11:35:00,AC
18.0,3.74,2024-03-01 11:40:00,AC
18.0,4.75,2024-03-01 11:45:00,AC
18.0,0.99,2024-03-01 11:50:00,AC
18.0,1.22,2024-03-01 11:55:00,AC
18.0,3.7,2024-03-01 12:00:00,AC
18.0,4.37,2024-03-01 12:05:00,AC
18.0,2.96,2024-03-01 12:10:00,AC
18.0,2.79,2024-03-01 12:15:00,AC
18.0,4.51,2024-03-01 12:20:00,AC
18.0,2.78,2024-03-01 12:25:00,AC
18.0,4.26,2024-03-01 12:30:00,AC
18.0,0.56,2024-03-01 12:35:00,AC
18.0,3.89,2024-03-01 12:40:00,AC
18.0,2.28,2024-03-01 12:45:00,AC
18.0,0.7,2024-03-01 12:50:00,AC
18.0,3.17,2024-03-01 12:55:00,AC
18.0,3.08,2024-03-01 13:00:00,AC
18.0,1.99,2024-03-01 13:05:00,AC
18.0,1.03,2024-03-01 13:10:00,AC
18.0,4.96,2024-03-01 13:15:00,AC
18.0,4.14,2024-03-01 13:20:00,AC
18.0,3.59,2024-03-01 13:25:00,AC
18.0,2.31,2024-03-01 13:30:00,AC
18.0,4.0,2024-03-01 13:35:00,AC
18.0,4.3,2024-03-01 13:40:00,AC
18.0,1.55,2024-03-01 13:45:00,AC
18.0,3.43,2024-03-01 13:50:00,AC
18.0,3.45,2024-03-01 13:55:00,AC
18.0,0.64,2024-03-01 14:00:00,AC
18.0,0.56,2024-03-01 14:05:00,AC
18.0,3.56,2024-03-01 14:10:00,AC
18.0,1.22,2024-03-01 14:15:00,AC
18.0,3.41,2024-03-01 14:20:00,AC
18.0,0.98,2024-03-01 14:25:00,AC
18.0,1.59,2024-03-01 14:30:00,AC
18.0,0.78,2024-03-01 14:35:00,AC
18.0,4.62,2024-03-01 14:40:00,AC
18.0,3.88,2024-03-01 14:45:00,AC
18.0,0.57,2024-03-01 14:50:00,AC
18.0,1.71,2024-03-01 14:55:00,AC
18.0,2.86,2024-03-01 15:00:00,AC
18.0,2.03,2024-03-01 15:05:00,AC
18.0,2.91,2024-03-01 15:10:00,AC
18.0,4.06,2024-03-01 15:15:00,AC
18.0,4.71,2024-03-01 15:20:00,AC
18.0,3.83,2024-03-01 15:25:00,AC
18.0,2.09,2024-03-01 15:30:00,AC
18.0,4.53,2024-03-01 15:35:00,AC
18.0,3.21,2024-03-01 15:40:00,AC
18.0,0.85,2024-03-01 15:45:00,AC
18.0,1.99,2024-03-01 15:50:00,AC
18.0,1.08,2024-03-01 15:55:00,AC
18.0,3.06,2024-03-01 16:00:00,AC
18.0,4.56,2024-03-01 16:05:00,AC
18.0,0.92,2024-03-01 16:10:00,AC
18.0,1.21,2024-03-01 16:15:00,AC
18.0,2.33,2024-03-01 16:20:00,AC
18.0,4.02,2024-03-01 16:25:00,AC
18.0,1.35,2024-03-01 16:30:00,AC
18.0,3.0,2024-03-01 16:35:00,AC
18.0,4.57,2024-03-01 16:40:00,AC
18.0,3.92,2024-03-01 16:45:00,AC
18.0,1.33,2024-03-01 16:50:00,AC
18.0,2.45,2024-03-01 16:55:00,AC
18.0,4.08,2024-03-01 17:00:00,AC
18.0,1.49,2024-03-01 17:05:00,AC
18.0,3.53,2024-03-01 17:10:00,AC
18.0,4.62,2024-03-01 17:15:00,AC
18.0,3.28,2024-03-01 17:20:00,AC
18.0,4.68,2024-03-01 17:25:00,AC
18.0,3.27,2024-03-01 17:30:00,AC
18.0,0.98,2024-03-01 17:35:00,AC
18.0,1.31,2024-03-01 17:40:00,AC
18.0,2.8,2024-03-01 17:45:00,AC
18.0,2.61,2024-03-01 17:50:00,AC
18.0,3.56,2024-03-01 17:55:00,AC
18.0,1.45,2024-03-01 18:00:00,AC
18.0,3.46,2024-03-01 18:05:00,AC
18.0,1.47,2024-03-01 18:10:00,AC
18.0,1.84,2024-03-01 18:15:00,AC
18.0,1.25,2024-03-01 18:20:00,AC
18.0,4.02,2024-03-01 18:25:00,AC
18.0,3.69,2024-03-01 18:30:00,AC
18.0,1.01,2024-03-01 18:35:00,AC
18.0,1.65,2024-03-01 18:40:00,AC
18.0,3.82,2024-03-01 18:45:00,AC
18.0,1.12,2024-03-01 18:50:00,AC
18.0,0.45,2024-03-01 18:55:00,AC
18.0,3.64,2024-03-01 19:00:00,AC
18.0,3.62,2024-03-01 19:05:00,AC
18.0,2.78,2024-03-01 19:10:00,AC
18.0,3.34,2024-03-01 19:15:00,AC
18.0,1.38,2024-03-01 19:20:00,AC
18.0,4.19,2024-03-01 19:25:00,AC
18.0,1.89,2024-03-01 19:30:00,AC
18.0,3.57,2024-03-01 19:35:00,AC
18.0,0.5,2024-03-01 19:40:00,AC
18.0,2.88,2024-03-01 19:45:00,AC
18.0,0.36,2024-03-01 19:50:00,AC
18.0,1.0,2024-03-01 19:55:00,AC
18.0,0.61,2024-03-01 20:00:00,AC
18.0,0.77,2024-03-01 20:05:00,AC
18.0,4.59,2024-03-01 20:10:00,AC
18.0,4.06,2024-03-01 20:15:00,AC
18.0,3.66,2024-03-01 20:20:00,AC
18.0,4.53,2024-03-01 20:25:00,AC
18.0,1.26,2024-03-01 20:30:00,AC
18.0,4.18,2024-03-01 20:35:00,AC
18.0,3.73,2024-03-01 20:40:00,AC
18.0,2.88,2024-03-01 20:45:00,AC
18.0,2.74,2024-03-01 20:50:00,AC
18.0,0.34,2024-03-01 20:55:00,AC
18.0,3.88,2024-03-01 21:00:00,AC
18.0,2.05,2024-03-01 21:05:00,AC
18.0,4.75,2024-03-01 21:10:00,AC
18.0,1.04,2024-03-01 21:15:00,AC
18.0,0.38,2024-03-01 21:20:00,AC
18.0,1.48,2024-03-01 21:25:00,AC
18.0,4.54,2024-03-01 21:30:00,AC
18.0,3.1,2024-03-01 21:35:00,AC
18.0,1.25,2024-03-01 21:40:00,AC
18.0,4.21,2024-03-01 21:45:00,AC
18.0,4.11,2024-03-01 21:50:00,AC
18.0,3.46,2024-03-01 21:55:00,AC
18.0,1.57,2024-03-01 22:00:00,AC
18.0,1.87,2024-03-01 22:05:00,AC
18.0,3.51,2024-03-01 22:10:00,AC
18.0,4.61,2024-03-01 22:15:00,AC
18.0,3.81,2024-03-01 22:20:00,AC
18.0,2.08,2024-03-01 22:25:00,AC
18.0,2.71,2024-03-01 22:30:00,AC
18.0,0.35,2024-03-01 22:35:00,AC
18.0,2.96,2024-03-01 22:40:00,AC
18.0,4.08,2024-03-01 22:45:00,AC
18.0,4.01,2024-03-01 22:50:00,AC
18.0,3.98,2024-03-01 22:55:00,AC
18.0,4.28,2024-03-01 23:00:00,AC
18.0,4.03,2024-03-01 23:05:00,AC
18.0,2.81,2024-03-01 23:10:00,AC
18.0,3.85,2024-03-01 23:15:00,AC
18.0,0.99,2024-03-01 23:20:00,AC
18.0,3.35,2024-03-01 23:25:00,AC
18.0,1.56,2024-03-01 23:30:00,AC
18.0,3.59,2024-03-01 23:35:00,AC
18.0,0.17,2024-03-01 23:40:00,AC
18.0,2.74,2024-03-01 23:45:00,AC
18.0,2.39,2024-03-01 23:50:00,AC
18.0,0.46,2024-03-01 23:55:00,AC
3.0,0.07,2024-03-01 00:00:00,Lamp
3.0,0.02,2024-03-01 00:05:00,Lamp
3.0,0.06,2024-03-01 00:10:00,Lamp
3.0,0.03,2024-03-01 00:15:00,Lamp
